숙소번호,모텔명,주소,추천여부_3,추천여부_2,추천여부_최종
1,나주 그랜드 호텔,전라남도 나주시 배멧2길 19,완전추천,비추천,보통
2,나주 LAKE 45 호텔,전라남도 나주시 배멧3길 5-4,보통추천,보통추천,보통
3,나주 브리즈 무인호텔,전라남도 나주시 송월2길 20 (송월동),매우완전추천,비추천,보통
4,나주 호텔 드림,전라남도 나주시 배멧3길 11 (빛가람동),매우완전추천,매우완전추천,추천1
5,나주 숲 무인호텔,전라남도 나주시 금천면 금영로 744,완전추천,매우완전추천,추천3
6,나주 라온팰리스 호텔,전라남도 나주시 배멧3길 5-20,매우완전추천,매우완전추천,추천1
7,나주 듀플렉스 레지던스 호텔,전라남도 나주시 배멧2길 13,완전추천,완전추천,추천4
8,나주 마루오호텔,전라남도 나주시 배멧3길 5-8,완전추천,보통추천,보통
9,나주 트럼프 무인텔,전라남도 나주시 내동길 9-6 (송월동),비추천,비추천,비추천
10,영광 팅커벨 무인호텔,전라남도 영광군 법성면 법성포로 27,보통추천,비추천,보통
11,나주 호텔 뷰,전라남도 나주시 중야2길 20,보통추천,비추천,보통
12,나주 웰컴 비즈니스,전라남도 나주시 완사천길 1-8,완전추천,보통추천,보통
13,나주 하이텔,전라남도 나주시 왕건길 42,완전추천,비추천,보통
14,영광 707 미니호텔,전라남도 영광군 법성면 법성포로 26,보통추천,비추천,보통
15,나주 웨스턴 호텔,전라남도 나주시 배멧3길 5-18,매우완전추천,보통추천,보통
16,영광 CC 무인텔,전남 영광군 백수읍 해안로5길 31,완전추천,완전추천,추천4
17,나주 M,전라남도 나주시 오포길 10,매우완전추천,매우완전추천,추천1
18,나주 궁 무인텔,전라남도 나주시 송월2길 8 (송월동),비추천,비추천,비추천
19,영광 더원 호텔,전라남도 영광군 법성면 법성포로 32,보통추천,비추천,보통
20,영광 하운드 영광터미널,전라남도 영광군 영광읍 천년로12길 6,매우완전추천,매우완전추천,추천1
21,장성 휴,전라남도 장성군 장성읍 역전로 161,비추천,비추천,비추천
22,나주 명성리버텔,전라남도 나주시 영산포로 169 (이창동),보통추천,완전추천,보통
23,나주 힐 모텔,전라남도 나주시 완사천길 3,비추천,비추천,비추천
24,영광 알로하 무인텔,전라남도 영광군 백수읍 해안로 608-6,매우완전추천,완전추천,추천2
25,나주 윈 무인텔,전라남도 나주시 송월2길 4,보통추천,비추천,보통
26,영광 청수,전라남도 영광군 법성면 굴비로4길 3,완전추천,완전추천,추천4
27,나주 호텔 코어,전라남도 나주시 배멧3길 19-13,비추천,비추천,비추천
28,나주 벌꿀 호텔,전라남도 나주시 영산포로 293,보통추천,완전추천,보통
29,장성 J,전라남도 장성군 장성읍 역전로 148,보통추천,보통추천,보통
30,나주 Q,전라남도 나주시 건재로 271-7,비추천,비추천,비추천
31,나주 S,전라남도 나주시 건재로 271-9,완전추천,비추천,보통
32,나주 현대,전라남도 나주시 이창2길 2-3,매우완전추천,보통추천,보통
33,장성 9,전라남도 장성군 북이면 백양로 2-8,완전추천,비추천,보통
34,나주 쇼,전라남도 나주시 내동길 3 (송월동),보통추천,보통추천,보통
35,장성 수석모텔,전라남도 장성군 장성읍 봉암로 177 (장안리),보통추천,매우완전추천,보통
36,영광 썸 무인호텔,전라남도 영광군 영광읍 천년로12길 58,보통추천,매우완전추천,보통
37,함평 힐탑,전라남도 함평군 해보면 밀재로 1147-5,보통추천,비추천,보통
38,영광 로얄,전라남도 영광군 영광읍 천년로11길 16,보통추천,비추천,보통
39,영광 골든비치,전라남도 영광군 법성면 법성포로 71-9,비추천,매우완전추천,보통
40,장성 백양관광호텔,전라남도 장성군 북하면 백양로 941,비추천,비추천,비추천
41,나주 호텔 코어 키즈 풀빌라,전라남도 나주시 배멧3길 19-13,데이터부족,데이터부족,보통
42,순천 자 무인텔,전라남도 순천시 장천4길 22,보통추천,비추천,보통
43,순천 호텔 TT,전라남도 순천시 연향상가4길 9,매우완전추천,완전추천,추천2
44,순천 앙띠브 호텔,전남 순천시 연향상가3길 29 (연향동),매우완전추천,완전추천,추천2
45,순천 9to9,전라남도 순천시 하풍동길 1,완전추천,보통추천,보통
46,순천 테라칸,전라남도 순천시 연향상가길 23 (연향동),매우완전추천,보통추천,보통
47,순천 YAM 순천 연향점,전라남도 순천시 연향상가4길 6 (연향동),완전추천,보통추천,보통
48,순천 호텔 69,전라남도 순천시 연향상가5길 3,완전추천,비추천,보통
49,순천 나무늘보 호텔,"전라남도 순천시 연향상가4길 8 (연향동,CF 모텔)",보통추천,비추천,보통
50,순천 칸,전라남도 순천시 장선배기1길 10-20,보통추천,완전추천,보통
51,순천 S 무인호텔,전라남도 순천시 역전길 46 (조곡동),매우완전추천,완전추천,추천2
52,순천 젠틀맨 무인호텔,전라남도 순천시 역전길 42 (조곡동),매우완전추천,보통추천,보통
53,순천 YAJA 순천조례점,전라남도 순천시 남신월길 8,매우완전추천,보통추천,보통
54,순천 루벤스,전라남도 순천시 팔마로 316 (연향동),보통추천,완전추천,보통
55,순천 호텔 리오,전라남도 순천시 팔마2길 29 (연향동),완전추천,보통추천,보통
56,순천 호텔 데일리(HOTEL DAILY),전라남도 순천시 팔마2길 32 (연향동),보통추천,보통추천,보통
57,순천 호텔 본(HOTEL BON),전라남도 순천시 역전1길 17,매우완전추천,비추천,보통
58,순천 E,전라남도 순천시 연향상가2길 4,완전추천,비추천,보통
59,순천 노블 무인호텔,전라남도 순천시 역전1길 22 (조곡동),매우완전추천,매우완전추천,추천1
60,순천 다빈치 호텔,전라남도 순천시 팔마로 320 (연향동),매우완전추천,완전추천,추천2
61,순천 호텔 써드,전라남도 순천시 장선배기1길 6-23,보통추천,매우완전추천,보통
62,순천 노블레스,전라남도 순천시 장선배기2길 12 (조례동),매우완전추천,매우완전추천,추천1
63,순천 카프리,전라남도 순천시 장선배기1길 6-19,보통추천,비추천,보통
64,순천 파스텔,전라남도 순천시 장선배기1길 6-14 (조례동),보통추천,비추천,보통
65,순천 줄리엣,전라남도 순천시 하풍3길 10 (풍덕동),매우완전추천,보통추천,보통
66,순천 호텔 로미오,전라남도 순천시 하풍동길 3,완전추천,보통추천,보통
67,순천 HOTEL 여기어때 조례사거리점,전라남도 순천시 연향상가4길 12,완전추천,보통추천,보통
68,순천 소풍,전라남도 순천시 해룡면 여순로 1288,매우완전추천,매우완전추천,추천1
69,순천 코코,전라남도 순천시 장평2길 2,보통추천,완전추천,보통
70,순천 호텔 디바인(HOTEL DIVINE),전라남도 순천시 역전길 47 (조곡동),완전추천,완전추천,추천4
71,순천 호텔 THE B,전라남도 순천시 장평2길 13 (풍덕동),완전추천,보통추천,보통
72,순천 호텔 디에이치(THE H),전라남도 순천시 팔마3길 10,매우완전추천,보통추천,보통
73,순천 사파이어 호텔,전남 순천시 연향상가길 21,매우완전추천,비추천,보통
74,순천 리멤버,전라남도 순천시 장선배기1길 6-43,보통추천,보통추천,보통
75,순천 아이비,전라남도 순천시 신월길 8,완전추천,매우완전추천,추천3
76,순천 호텔 프라자,전라남도 순천시 연향상가8길 21,매우완전추천,보통추천,보통
77,순천 호텔 마스(MARS),전라남도 순천시 팔마2길 38,매우완전추천,매우완전추천,추천1
78,순천 벨라지오,전라남도 순천시 하풍동길 5,비추천,매우완전추천,보통
79,순천 필,전라남도 순천시 장선배기1길 6-16,매우완전추천,비추천,보통
80,순천 샤인호텔(SHINE HOTEL),전라남도 순천시 남신월길 4 (조례동),완전추천,보통추천,보통
81,순천 발리,전라남도 순천시 역전길 23 (조곡동),매우완전추천,비추천,보통
82,순천 브라운도트 순천역점,전라남도 순천시 팔마로 153,완전추천,완전추천,추천4
83,순천 호텔 휴(HOTEL HUE),전라남도 순천시 안신기4길 22,완전추천,보통추천,보통
84,순천 리무진,전라남도 순천시 남신월길 6(조례동),보통추천,매우완전추천,보통
85,순천 비타민,전라남도 순천시 상풍길 34 (풍덕동),비추천,비추천,비추천
86,순천 HOTEL 여기어때 순천점(국가정원),전라남도 순천시 팔마2길 25,매우완전추천,완전추천,추천2
87,순천 G7 무인텔,전라남도 순천시 해룡면 신대3길 6-33,완전추천,완전추천,추천4
88,순천 호텔 문(MOON),전라남도 순천시 팔마2길 21 (연향동),매우완전추천,보통추천,보통
89,순천 탑,전라남도 순천시 별량면 금치길 111,완전추천,보통추천,보통
90,순천 사모아,전남 순천시 장천2길 30,보통추천,비추천,보통
91,순천 아비숑,전라남도 순천시 장천4길 18,매우완전추천,비추천,보통
92,담양 해피타임 드라이브인,전라남도 담양군 담양읍 추성로 1173-15,보통추천,비추천,보통
93,담양 갤러리 무인텔,전라남도 담양군 담양읍 외다길 8,매우완전추천,보통추천,보통
94,화순 럭셔리 무인텔,전라남도 화순군 도곡면 온천1길 100,보통추천,보통추천,보통
95,담양 언노운호텔(HOTEL UNKNOWN),전라남도 담양군 담양읍 담주1길 27,매우완전추천,보통추천,보통
96,담양 노라 무인텔,전라남도 담양군 금성면 금성산성길 282-28,매우완전추천,비추천,보통
97,화순 더원 비지니스 호텔,전라남도 화순군 도곡면 온천1길 77,매우완전추천,완전추천,추천2
98,화순 설레임 드라이브인 무인텔,전라남도 화순군 도곡면 온천1길 124,보통추천,보통추천,보통
99,구례 마리 호텔,전라남도 구례군 산동면 하관길 49-15,보통추천,비추천,보통
100,화순 골드 무인호텔,전라남도 화순군 도곡면 온천1길 28-46,보통추천,보통추천,보통
101,담양 성림,전라남도 담양군 담양읍 지침3길 7-12,보통추천,비추천,보통
102,담양 소아르 호텔,전라남도 담양군 담양읍 메타프로방스3길 2,매우완전추천,보통추천,보통
103,화순 므네모 무인호텔,전라남도 화순군 도곡면 온천1길 28-50,완전추천,보통추천,보통
104,담양 힐링,전라남도 담양군 담양읍 무정로 23,완전추천,비추천,보통
105,곡성 은하수 드라이브인,전라남도 곡성군 오산면 오산로 819-21,매우완전추천,보통추천,보통
106,화순 쉼 무인호텔,전라남도 화순군 도곡면 온천2길 51-1,매우완전추천,보통추천,보통
107,화순 신라 무인호텔,전라남도 화순군 도곡면 온천1길 18-9,보통추천,보통추천,보통
108,곡성 필,전라남도 곡성군 곡성읍 섬진강로 2612,매우완전추천,보통추천,보통
109,곡성 에이스 무인텔,전라남도 곡성군 오곡면 섬진강로 1080-1,매우완전추천,매우완전추천,추천1
110,담양 창평 G호텔,전라남도 담양군 창평면 의병로 5,비추천,비추천,비추천
111,곡성 스마일 무인호텔,전라남도 곡성군 오산면 오산로 834-6,완전추천,비추천,보통
112,구례 그랜드호텔,전라남도 구례군 산동면 지리산온천로 276,완전추천,완전추천,추천4
113,구례 푸른솔,전라남도 구례군 산동면 효동길 30-64 (내산리),매우완전추천,보통추천,보통
114,구례 S무인호텔,전남 구례군 산동면 하관길 49-26,보통추천,비추천,보통
115,화순 YAJA 화순도곡온천DI점,전라남도 화순군 도곡면 온천1길 28-22,매우완전추천,매우완전추천,추천1
116,담양 굿비즈니스 호텔,전라남도 담양군 가사문학면 가사문학로 1157,보통추천,비추천,보통
117,구례 제일온천호텔,전라남도 구례군 산동면 하관1길 29,매우완전추천,보통추천,보통
118,화순 애니텔,전라남도 화순군 도곡면 온천1길 28-19,비추천,비추천,비추천
119,구례 후니,전라남도 구례군 토지면 섬진강대로 4220,완전추천,매우완전추천,추천3
120,곡성 휴,전라남도 곡성군 석곡면 석곡3길 1,보통추천,비추천,보통
121,담양 베스트,전라남도 담양군 가사문학면 가사문학로 1146,보통추천,비추천,보통
122,화순 퀸 무인텔,전라남도 화순군 도곡면 온천1길 28-5,보통추천,비추천,보통
123,담양 추월산 해피랜드,전라남도 담양군 용면 추월산로 1001추월산 해피랜드,매우완전추천,비추천,보통
124,화순 아모르무인텔,전라남도 화순군 도곡면 온천1길 58,보통추천,비추천,보통
125,구례 지리산산사랑 모텔,전라남도 구례군 마산면 화엄사로 348-12,완전추천,비추천,보통
126,구례 산동 약수장,전라남도 구례군 산동면 지리산온천로 146,보통추천,비추천,보통
127,구례 꿈의 궁전,전라남도 구례군 산동면 관산구산길 15,비추천,비추천,비추천
128,무안 남악 오늘호텔,전라남도 무안군 삼향읍 오룡1길 42-34,보통추천,비추천,보통
129,무안 호텔 더케이,전라남도 무안군 무안읍 공항로 9,보통추천,매우완전추천,보통
130,영암 삼호 무인텔,전라남도 영암군 삼호읍 대불주거5로 122,보통추천,보통추천,보통
131,무안 뉴 드라이브인 호텔,전라남도 무안군 청계면 청운로 70,완전추천,비추천,보통
132,영암 무인호텔 THE SOO,전라남도 영암군 삼호읍 대불주거5로7길 14,완전추천,완전추천,추천4
133,무안 남악 킹 무인텔,전라남도 무안군 삼향읍 삼향로 70,완전추천,매우완전추천,추천3
134,무안 남악 애플 무인텔,전라남도 무안군 삼향읍 임성로 270-15,완전추천,매우완전추천,추천3
135,무안 짝,전라남도 무안군 무안읍 면성1길 111-8,보통추천,매우완전추천,보통
136,무안 호텔 시애틀,전라남도 무안군 무안읍 무안로 510,완전추천,완전추천,추천4
137,무안 남악 무인호텔,전라남도 무안군 삼향읍 남악로 227-37,보통추천,비추천,보통
138,무안 조선비취호텔,전라남도 무안군 삼향읍 오룡1길 42-30,비추천,비추천,비추천
139,영암 풀 무인호텔,전라남도 영암군 삼호읍 나불외도로 150-15,매우완전추천,비추천,보통
140,영암 스타보드 15(Starboard 15),전라남도 영암군 삼호읍 대불주거5로7길 4,매우완전추천,완전추천,추천2
141,영암 사우스 오아시스,전라남도 영암군 삼호읍 대불주거5로8길 5,매우완전추천,매우완전추천,추천1
142,무안 샾,전라남도 무안군 무안읍 면성1길 111-5,비추천,비추천,비추천
143,영암 유토피아,전라남도 영암군 삼호읍 삼포로 325,보통추천,비추천,보통
144,무안 비치호텔,전라남도 무안군 망운면 톱머리길 36,매우완전추천,비추천,보통
145,영암 실크로드,전라남도 영암군 삼호읍 삼포로 327,완전추천,완전추천,추천4
146,영암 초원의 집,전라남도 영암군 학산면 노정길 1,보통추천,비추천,보통
147,신안 흑산도 아시아,전남 신안군 흑산면 예리1길 8,보통추천,보통추천,보통
148,무안 쉴 무인텔,전라남도 무안군 청계면 청수길 6-12,보통추천,비추천,보통
149,영암 스타보드 35(Starboard 35),전라남도 영암군 삼호읍 대불주거3로 39 4층-5층,비추천,비추천,비추천
150,여수 YAM 여수학동점,전라남도 여수시 거북선공원2길 19 (학동),매우완전추천,보통추천,보통
151,여수 YAJA 여수 학동점,전라남도 여수시 시청동2길 13,매우완전추천,보통추천,보통
152,여수 호텔 엘크레인(L CRANE),전라남도 여수시 여문1로 39-14 (여서동),완전추천,보통추천,보통
153,여수 호텔 YOU,전라남도 여수시 시청동2길 16,보통추천,비추천,보통
154,여수 호텔 자바(ZAVA),전라남도 여수시 봉산남7길 11-10,보통추천,비추천,보통
155,여수 K-boutique 호텔,전라남도 여수시 성산3길 21-15 (화장동),매우완전추천,보통추천,보통
156,여수 더샵 호텔,전라남도 여수시 시청동2길 22-1 (학동),비추천,비추천,비추천
157,여수 호텔 더클래식(Hotel The Classic),전라남도 여수시 시청동3길 30-5,완전추천,완전추천,추천4
158,여수 1번가 호텔(1st),전라남도 여수시 여문1로 43-21 (여서동),보통추천,보통추천,보통
159,여수 산 무인호텔,전라남도 여수시 봉산남7길 5-9 (봉산동),매우완전추천,보통추천,보통
160,여수 호텔 THE B,전라남도 여수시 선소로 41,보통추천,비추천,보통
161,여수 꿀잠호텔,전라남도 여수시 공화남2길 12 (공화동),매우완전추천,매우완전추천,추천1
